VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
Car1	1698757254645	87.9597	-1.11774	-0.723493	0.989613	0.001314	9.6973e-05	-0.143748	1	0	0	1	0	1621.95	4.82807	img_Car1__0_1698757254644927400.png
Car1	1698757254781	88.5681	-1.31053	-0.723371	0.988999	0.000648515	-0.000202582	-0.147917	1	0	0	1	0	1817.46	4.72261	img_Car1__0_1698757254780324000.png
Car1	1698757254915	89.1698	-1.49921	-0.723125	0.988739	0.000360704	-0.000267093	-0.149649	1	-1	0	1	0	2344.77	4.75982	img_Car1__0_1698757254914819300.png
Car1	1698757255049	89.7848	-1.73323	-0.723442	0.986293	0.00177823	-0.000216559	-0.164997	1	0	0	1	0	2806.21	4.94373	img_Car1__0_1698757255049181400.png
Car1	1698757255185	90.3991	-1.98239	-0.723851	0.984074	0.00185047	0.000258548	-0.177749	0	-1	0	1	0	2666.92	5.17464	img_Car1__0_1698757255184995700.png
Car1	1698757255320	91.0466	-2.24527	-0.724125	0.982728	0.0015874	0.000499825	-0.185046	0	-1	0	1	0	2035.3	5.22215	img_Car1__0_1698757255320045200.png
Car1	1698757255457	91.6862	-2.55271	-0.723871	0.978868	0.00262412	-0.000126905	-0.204476	0	0	0	1	0	1609.2	5.14502	img_Car1__0_1698757255456900200.png
Car1	1698757255594	92.3023	-2.83242	-0.723642	0.978108	0.00118848	-0.000341334	-0.208095	0	-1	0	1	0	1336.88	4.8892	img_Car1__0_1698757255593972300.png
Car1	1698757255734	92.9261	-3.14544	-0.722865	0.975569	0.00152165	-0.00100764	-0.219685	0	0	0	1	0	1157.5	4.59896	img_Car1__0_1698757255733623300.png
Car1	1698757255874	93.4964	-3.44111	-0.722825	0.973728	0.000962532	-0.00129393	-0.227709	1	0	0	1	0	1241.26	4.31303	img_Car1__0_1698757255872993900.png
Car1	1698757256012	94.0436	-3.7127	-0.722908	0.97367	8.47057e-05	-0.00120498	-0.227958	1	-1	0	1	0	1719.48	4.17977	img_Car1__0_1698757256012420300.png
Car1	1698757256154	94.5579	-3.98027	-0.723081	0.972697	0.000287653	-0.000835766	-0.232075	1	0	0	1	0	2252.84	4.28972	img_Car1__0_1698757256153802700.png
Car1	1698757256293	95.0986	-4.25476	-0.723241	0.972629	0.000108287	-3.3837e-05	-0.232365	1	-1	0	1	0	2716.32	4.52835	img_Car1__0_1698757256292610600.png
Car1	1698757256430	95.6494	-4.55244	-0.723533	0.971144	0.000873204	0.000396064	-0.238492	1	0	0	1	0	3128.29	4.81895	img_Car1__0_1698757256429791100.png
Car1	1698757256571	96.2323	-4.87204	-0.723652	0.97002	0.000857363	0.000881657	-0.243024	1	0	0	1	0	3507.79	5.15613	img_Car1__0_1698757256571436700.png
Car1	1698757256709	96.8692	-5.21838	-0.724369	0.969516	0.000821406	0.00124251	-0.245022	0	-1	0	1	0	3604.46	5.50564	img_Car1__0_1698757256709240800.png
Car1	1698757256848	97.5126	-5.61453	-0.724222	0.965593	0.00218062	0.000994278	-0.260046	0	0	0	1	0	2785.97	5.77155	img_Car1__0_1698757256847964900.png
Car1	1698757256986	98.1978	-6.02118	-0.724044	0.964852	0.00126701	0.000983157	-0.26279	0	-1	0	1	0	2107.08	5.79145	img_Car1__0_1698757256986222200.png
Car1	1698757257124	98.8685	-6.45084	-0.7238	0.961944	0.00161951	0.000172059	-0.273241	0	0	0	1	0	1682.8	5.59051	img_Car1__0_1698757257123732800.png
Car1	1698757257263	99.5239	-6.86341	-0.723568	0.961233	0.000847802	-0.00035872	-0.275736	0	-1	0	1	0	1407.09	5.36681	img_Car1__0_1698757257262804900.png
